agent,examples,update_ms_mean,update_ms_median,update_ms_p95,read_ms_mean,read_ms_median,read_ms_p95,generation_ms_mean,generation_ms_median,generation_ms_p95,end_to_end_ms_mean,end_to_end_ms_median,end_to_end_ms_p95
lalm,450,603.416974666648,590.4854500004149,731.5707749998181,9.211999333363362,10.036300000137999,11.329039999509405,326.6029397776826,311.1161999986507,474.8929500001391,939.231913777694,911.4718500004528,1183.4200349994717
lexical_only,450,253.05076622231152,250.40814999920258,277.57390000151645,5.330300444475142,4.801400000360445,9.257914999034256,315.4771433333129,313.6736500000552,420.98789500050754,573.8582100000996,571.0121000029176,675.7703449999099
pure_liquid,450,594.1555228888885,574.3523500004812,730.0378600013573,9.316653999962405,10.51730000290263,11.209380000400413,234.12707377770857,244.6596000008867,365.4168999993999,837.5992506665594,812.4752000003355,1066.2417199975607
rag,450,282.8563564444711,281.2226500009274,312.5376550011424,9.948957111102775,9.534400001939503,13.308974998835765,383.07633666670074,371.5283499986981,543.9628350000928,675.8816502222746,665.0440500015975,839.5967600015863
vanilla,450,0.10591333341532543,0.09825000051932875,0.14951999983168204,0.0009515555656333971,0.0008999995770864189,0.0013549994037020906,206.4581500001077,201.41739999962738,244.8605449992101,206.56501488908867,201.5198999997665,244.95691999909468
window,450,0.514926222434345,0.4944499996781815,0.6719400011206744,0.022139555666298192,0.020249999579391442,0.03955000247515268,2953.698263111073,2991.630399999849,3722.4057800000082,2954.2353288891736,2992.1515000023646,3722.9750799977405
