example_id,agent,update_ms,read_ms,generation_ms,end_to_end_ms,model_loading_policy
conv-26-qa-0,lalm,2.9823924623220344,44.91499999858206,224.5781250003347,272.4755174612388,one shared preloaded model
conv-26-qa-1,lalm,2.9823924623220344,10.277199999109143,224.5781250003347,237.83771746176586,one shared preloaded model
conv-26-qa-2,lalm,2.9823924623220344,10.006399999838322,224.5781250003347,237.56691746249504,one shared preloaded model
conv-26-qa-3,lalm,2.9823924623220344,9.542700001475168,224.5781250003347,237.1032174641319,one shared preloaded model
conv-26-qa-4,lalm,2.9823924623220344,8.759799999097595,180.69697499959148,192.4391674610111,one shared preloaded model
conv-26-qa-5,lalm,2.9823924623220344,10.310300000128336,180.69697499959148,193.98966746204184,one shared preloaded model
conv-26-qa-6,lalm,2.9823924623220344,10.743599999841535,180.69697499959148,194.42296746175504,one shared preloaded model
conv-26-qa-7,lalm,2.9823924623220344,10.211699998762924,180.69697499959148,193.89106746067642,one shared preloaded model
conv-26-qa-8,lalm,2.9823924623220344,6.473399997048546,168.72925000006944,178.18504245944,one shared preloaded model
conv-26-qa-9,lalm,2.9823924623220344,7.910899999842513,168.72925000006944,179.62254246223398,one shared preloaded model
conv-26-qa-10,lalm,2.9823924623220344,7.771500000671949,168.72925000006944,179.48314246306342,one shared preloaded model
conv-26-qa-11,lalm,2.9823924623220344,10.020000001532026,168.72925000006944,181.7316424639235,one shared preloaded model
conv-26-qa-12,lalm,2.9823924623220344,6.360999999742489,101.78992500004824,111.13331746211277,one shared preloaded model
conv-26-qa-13,lalm,2.9823924623220344,6.755899998097448,101.78992500004824,111.52821746046773,one shared preloaded model
conv-26-qa-14,lalm,2.9823924623220344,6.831499998952495,101.78992500004824,111.60381746132278,one shared preloaded model
conv-26-qa-15,lalm,2.9823924623220344,5.49690000116243,101.78992500004824,110.26921746353271,one shared preloaded model
conv-26-qa-16,lalm,2.9823924623220344,6.884099999297177,177.15847500039672,187.02496746201592,one shared preloaded model
conv-26-qa-17,lalm,2.9823924623220344,6.802500000048894,177.15847500039672,186.94336746276764,one shared preloaded model
conv-26-qa-18,lalm,2.9823924623220344,6.861199999548262,177.15847500039672,187.002067462267,one shared preloaded model
conv-26-qa-19,lalm,2.9823924623220344,6.868799999210751,177.15847500039672,187.0096674619295,one shared preloaded model
conv-26-qa-20,lalm,2.9823924623220344,7.45910000114236,157.40657500009547,167.84806746355986,one shared preloaded model
conv-26-qa-21,lalm,2.9823924623220344,10.171999998419778,157.40657500009547,170.56096746083728,one shared preloaded model
conv-26-qa-22,lalm,2.9823924623220344,10.880000001634471,157.40657500009547,171.26896746405197,one shared preloaded model
conv-26-qa-23,lalm,2.9823924623220344,10.32390000182204,157.40657500009547,170.71286746423954,one shared preloaded model
conv-26-qa-24,lalm,2.9823924623220344,6.560699999681674,90.50902499984659,100.0521174618503,one shared preloaded model
conv-26-qa-25,lalm,2.9823924623220344,6.693799998174654,90.50902499984659,100.18521746034328,one shared preloaded model
conv-26-qa-26,lalm,2.9823924623220344,10.36989999920479,90.50902499984659,103.86131746137342,one shared preloaded model
conv-26-qa-27,lalm,2.9823924623220344,10.155899999517715,90.50902499984659,103.64731746168634,one shared preloaded model
conv-26-qa-28,lalm,2.9823924623220344,7.269900001119822,176.57142500047485,186.8237174639167,one shared preloaded model
conv-26-qa-29,lalm,2.9823924623220344,10.541000003286172,176.57142500047485,190.09481746608304,one shared preloaded model
conv-26-qa-30,lalm,2.9823924623220344,10.511600001336774,176.57142500047485,190.06541746413365,one shared preloaded model
conv-26-qa-31,lalm,2.9823924623220344,9.858700002951082,176.57142500047485,189.41251746574795,one shared preloaded model
conv-26-qa-32,lalm,2.9823924623220344,6.638099999690894,127.32477500048844,136.94526746250136,one shared preloaded model
conv-26-qa-33,lalm,2.9823924623220344,6.691200000204844,127.32477500048844,136.9983674630153,one shared preloaded model
conv-26-qa-34,lalm,2.9823924623220344,6.884999998874264,127.32477500048844,137.19216746168473,one shared preloaded model
