example_id,agent,update_ms,read_ms,generation_ms,end_to_end_ms,model_loading_policy
76d63226,bounded_rag,467.8018999984488,13.688299994100817,463.30100001068786,944.7912000032375,one shared preloaded model
86f00804,bounded_rag,258.7915000040084,10.30890000401996,309.9977999954717,579.0982000035001,one shared preloaded model
8e9d538c,bounded_rag,251.4626999909524,12.817100010579452,186.21379999967758,450.4936000012094,one shared preloaded model
311778f1,bounded_rag,279.2817000008654,12.70190000650473,195.51970000611618,487.5033000134863,one shared preloaded model
c19f7a0b,bounded_rag,244.34090001159348,11.268000002019107,306.340100010857,561.9490000244696,one shared preloaded model
4100d0a0,bounded_rag,263.73590000730474,19.41639999859035,302.01910001051147,585.1714000164066,one shared preloaded model
29f2956b,bounded_rag,258.5875999939162,13.78110000223387,215.48699999402743,487.8556999901775,one shared preloaded model
1faac195,bounded_rag,274.4412000029115,9.025300008943304,328.3021000097506,611.7686000216054,one shared preloaded model
faba32e5,bounded_rag,277.88569999393076,8.159999997587875,320.9065999981249,606.9522999896435,one shared preloaded model
f4f1d8a4,bounded_rag,293.61779999453574,8.492099994327873,304.5586999942316,606.6685999830952,one shared preloaded model
c14c00dd,bounded_rag,262.14099999924656,11.73289999132976,231.34280000522267,505.216699995799,one shared preloaded model
36580ce8,bounded_rag,266.2668999982998,8.327000003191642,285.3153000032762,559.9092000047676,one shared preloaded model
3d86fd0a,bounded_rag,294.13179999392014,11.390200001187623,123.27619999996386,428.7981999950716,one shared preloaded model
a82c026e,bounded_rag,241.9308000098681,11.421399991377257,322.8822999953991,576.2344999966444,one shared preloaded model
0862e8bf_abs,bounded_rag,264.21799999661744,10.741799997049384,201.38949999818578,476.3492999918526,one shared preloaded model
15745da0_abs,bounded_rag,262.6488999958383,8.79339998937212,303.7156999926083,575.1579999778187,one shared preloaded model
bc8a6e93_abs,bounded_rag,252.97230000433046,11.386500002117828,307.0627999986755,571.4216000051238,one shared preloaded model
19b5f2b3_abs,bounded_rag,254.48150000011083,12.496900002588518,321.5100999950664,588.4884999977658,one shared preloaded model
29f2956b_abs,bounded_rag,244.5657000062056,8.167699998011813,323.75800001318567,576.4914000174031,one shared preloaded model
f4f1d8a4_abs,bounded_rag,243.44289999862667,10.149099995032884,307.6367999892682,561.2287999829277,one shared preloaded model
0a995998,bounded_rag,258.7146000005305,9.77410000632517,171.08310000912752,439.5718000159832,one shared preloaded model
6d550036,bounded_rag,256.20199998957105,9.46299999486655,303.76799999794457,569.4329999823822,one shared preloaded model
gpt4_59c863d7,bounded_rag,248.39150000480004,8.74360000307206,305.2404999907594,562.3755999986315,one shared preloaded model
b5ef892d,bounded_rag,267.54190000065137,9.406500001205131,271.2638999946648,548.2122999965213,one shared preloaded model
e831120c,bounded_rag,249.1703999985475,8.994999996502884,184.03809999290388,442.2034999879543,one shared preloaded model
3a704032,bounded_rag,251.35429999500047,9.004699997603893,286.7203000059817,547.0792999985861,one shared preloaded model
gpt4_d84a3211,bounded_rag,275.40150001004804,10.658900006092153,323.45740000891965,609.5178000250598,one shared preloaded model
aae3761f,bounded_rag,259.52029999461956,12.652399993385188,345.54260000004433,617.7152999880491,one shared preloaded model
gpt4_f2262a51,bounded_rag,255.60930000210647,8.985099993878976,315.8470999915153,580.4414999875007,one shared preloaded model
dd2973ad,bounded_rag,299.8141999996733,10.907500007306226,314.5049000013387,625.2266000083182,one shared preloaded model
c4a1ceb8,bounded_rag,265.98250000097323,10.604299997794442,344.8710999946343,621.457899993402,one shared preloaded model
gpt4_a56e767c,bounded_rag,245.0712999998359,10.431400005472824,321.94050001271535,577.4432000180241,one shared preloaded model
