horizon,treatment,control,paired_examples,treatment_accuracy,control_accuracy,delta_treatment_minus_control,ci95_low,ci95_high
5000,lalm,lexical_only,150,0.72,0.66,0.06,0.02,0.10666666666666667
5000,lalm,lalm_zero_prefix,150,0.72,0.6866666666666666,0.03333333333333333,-0.02666666666666667,0.09333333333333334
5000,lalm,lalm_random_prefix,150,0.72,0.5933333333333334,0.12666666666666668,0.07333333333333333,0.18
5000,lalm,lalm_permuted_prefix,150,0.72,0.5933333333333334,0.12666666666666668,0.07333333333333333,0.18666666666666668
